,0
0,205065350
1,205140688
2,205561580
3,205584055
4,205658420
5,205658424
6,205658508
7,205721798
8,205723734
9,205730775
10,205745314
11,205758660
12,205848179
13,205863275
14,206093715
15,206452443
16,206703246
17,206792399
18,206863716
19,206875964
20,207141766
21,207176320
22,300011269
23,300014554
24,300015404
25,300032222
26,300159571
27,300450845
28,300859005
29,301442119
30,301688547
31,301711642
32,301859152
33,301991272
34,302071894
35,302173777
36,302253240
37,302693556
38,302785353
39,302865827
40,302895657
41,302994133
42,303009229
43,303115501
44,303419575
45,303516185
46,304288748
47,304416120
48,304923652
49,305094016
50,305444643
51,305447143
52,305505697
53,305608916
54,306337251
55,306337624
56,306337626
57,307326840
58,308725252
59,308725261
60,308802383
61,309003622
62,310281824
63,310558184
64,310692881
65,310692882
66,310692883
67,310692885
68,310692886
69,310692888
70,310692889
71,310692891
72,310692893
73,310692895
74,310700103
75,310700107
76,310700109
77,310782059
78,311067719
79,311067745
80,311067767
81,311067781
82,311067797
83,311102059
84,311102078
85,311102087
86,311102107
87,311102788
88,311102816
89,311102823
90,311204772
91,311204774
92,311204775
93,311411352
94,311936897
95,312036565
96,312036574
97,312272215
98,312284852
99,312285728
100,312293339
101,312293341
102,312429505
103,312648545
104,312648548
105,312648559
106,312904318
107,312920903
108,313661565
109,313661566
110,313661573
111,313666613
112,313666615
113,313803342
114,313892139
115,313895462
116,313895464
117,313943599
118,313983761
119,314145556
120,314387194
121,314426161
122,314426162
123,314426163
124,314431916
125,314849213
126,314908589
127,315434356
128,315495926
129,315696170
130,315696210
131,315696265
132,315845275
133,315868024
134,316674409
135,317013047
136,317192203
137,317436989
138,317445728
139,317565632
140,317645356
141,317987099
142,318378035
143,318427836
144,318454875
145,318937207
146,319236498
147,319240123
148,319305787
149,319504762
150,319517831
151,319535589
152,319535593
153,319614650
154,319622202
155,319812592
156,319881459
157,319881477
158,319881550
159,320243591
160,320243614
161,320477277
162,320484893
163,320560411
164,320560635
165,320668714
166,320786143
167,320928142
168,320929671
169,320970662
170,320979614
171,321039616
172,321253238
173,321332127
174,321576295
175,321829067
176,321829185
177,321829204
178,321887244
179,322038211
180,322350252
181,322414700
182,322523998
183,323521042
184,324033118
185,324061631
186,324074139
187,324088471
188,324158419
189,324197882
190,324225468
191,324689724
192,324849975
193,325158107
194,325158140
195,325158258
196,325158262
197,325158289
198,325214758
199,325792367
200,326210901
201,326403750
202,326405248
203,326405267
204,326405320
205,326405328
206,326405336
207,326405500
208,326405508
209,326405510
210,326405772
211,326626723
212,326915276
213,326915683
214,326917144
215,327228899
216,327701155
